cd_conta,conta,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,261641.000,469564.000,461921.000,489467.000,867023.000,904331.000,924936.000,996366.000,944084.000,996273.000,982166.000,1225563.000,1175777.000,1338461.000,1442235.000,1423620.000,1387852.000,1417217.000,1423137.000,1365312.000,1338152.000,1368591.000,1489591.000,1497996.000,1446470.000,1989933.000,1970619.000,2160950.000,2400023.000,3356900.000,3445264.000,3702603.000,4582439.000,4982403.000,10192297.000,10317014.000,9882678.000,10818499.000,10477833.000,10419486.000,10732094.000,10572000.000,10055984.000,9921427.000,9655477.000,9235059.000,9774881.000,9954648.000,9688873.000,9965999.000,10000011.000,10090277.000
1.01,Ativo Circulante,59431.000,145950.000,190579.000,212941.000,587789.000,616510.000,632242.000,391110.000,336008.000,372126.000,345408.000,567788.000,394124.000,443924.000,499296.000,476647.000,434042.000,462959.000,442574.000,474881.000,410012.000,432862.000,541328.000,498984.000,408194.000,381414.000,360948.000,369730.000,455922.000,1281063.000,1312377.000,1309400.000,2106414.000,1860921.000,1465477.000,1615157.000,1311929.000,2245964.000,2117333.000,2067690.000,2379589.000,2290745.000,1937678.000,1906974.000,1770484.000,1507410.000,2140256.000,2388248.000,2084653.000,2324269.000,2358349.000,2547889.000
1.01.01,Caixa e Equivalentes de Caixa,5470.000,22392.000,20294.000,12859.000,12202.000,9366.000,7160.000,18779.000,15867.000,25660.000,14754.000,18915.000,25480.000,24477.000,22537.000,23423.000,39568.000,28382.000,30819.000,37548.000,33918.000,26338.000,135419.000,23345.000,99507.000,44502.000,30307.000,27955.000,31552.000,36443.000,41915.000,84332.000,73183.000,62233.000,141182.000,174919.000,169248.000,229109.000,146238.000,192315.000,422431.000,419777.000,61462.000,445741.000,139411.000,146471.000,172419.000,100228.000,99601.000,125352.000,103150.000,112989.000
1.01.02,Aplicações Financeiras,0.000,50860.000,104835.000,112560.000,476487.000,487911.000,477167.000,183165.000,119993.000,93118.000,20734.000,223777.000,159058.000,125647.000,179287.000,191535.000,141931.000,156063.000,108632.000,109371.000,81994.000,74340.000,158073.000,222874.000,85924.000,92223.000,55402.000,79944.000,151042.000,895451.000,751389.000,705427.000,1204671.000,1161156.000,496839.000,584552.000,346053.000,1172202.000,1068326.000,912282.000,988199.000,840518.000,923049.000,600827.000,765834.000,382004.000,1007622.000,1374940.000,1152380.000,1266569.000,1341130.000,1563474.000
1.01.03,Contas a Receber,52349.000,65214.000,59896.000,74931.000,94834.000,111114.000,140333.000,178949.000,193740.000,242214.000,298579.000,292655.000,193144.000,280435.000,286803.000,249609.000,233065.000,229581.000,279944.000,301271.000,277390.000,310009.000,225025.000,224669.000,174083.000,224250.000,235440.000,224399.000,241116.000,291031.000,321892.000,331268.000,368587.000,378199.000,637686.000,658536.000,660057.000,692738.000,761255.000,831694.000,847188.000,891963.000,835054.000,733494.000,753946.000,841047.000,867228.000,823917.000,741333.000,834620.000,784914.000,759584.000
1.01.04,Estoques,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11154.000,11881.000,12066.000,12744.000,8998.000,8995.000,9807.000,10256.000,9669.000,6228.000,7615.000,6228.000,4088.000,4839.000,6011.000,4815.000,5880.000,6847.000,78294.000,81588.000,88617.000,83441.000,83384.000,81562.000,77156.000,74695.000,75765.000,94929.000,62673.000,68065.000,61630.000,58485.000,44339.000,47121.000,52597.000,52840.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,1612.000,7484.000,5554.000,12591.000,4266.000,8119.000,7582.000,10217.000,6408.000,11134.000,11341.000,32441.000,16442.000,13365.000,10669.000,12080.000,8324.000,37052.000,11113.000,13947.000,7712.000,13180.000,13004.000,17840.000,39011.000,14211.000,32184.000,31204.000,28124.000,53299.000,191170.000,183558.000,454093.000,252486.000,111476.000,115562.000,47954.000,68474.000,58130.000,49837.000,44615.000,63792.000,42348.000,31983.000,48620.000,69823.000,31357.000,30678.000,47000.000,50607.000,76558.000,59002.000
1.02,Ativo Não Circulante,202210.000,323614.000,271342.000,276526.000,279234.000,287821.000,292694.000,605256.000,608076.000,624147.000,636758.000,657775.000,781653.000,894537.000,942939.000,946973.000,953810.000,954258.000,980563.000,890431.000,928140.000,935729.000,948263.000,999012.000,1038276.000,1608519.000,1609671.000,1791220.000,1944101.000,2075837.000,2132887.000,2393203.000,2476025.000,3121482.000,8726820.000,8701857.000,8570749.000,8572535.000,8360500.000,8351796.000,8352505.000,8281255.000,8118306.000,8014453.000,7884993.000,7727649.000,7634625.000,7566400.000,7604220.000,7641730.000,7641662.000,7542388.000
1.02.01,Ativo Realizável a Longo Prazo,30191.000,28820.000,17094.000,19540.000,20320.000,18523.000,17350.000,29752.000,37452.000,40250.000,45833.000,63322.000,183091.000,185199.000,197437.000,157905.000,161148.000,160259.000,175653.000,79184.000,107233.000,99535.000,105745.000,107300.000,119137.000,117134.000,115852.000,121193.000,226535.000,241891.000,153757.000,243163.000,236587.000,246604.000,597012.000,656957.000,510141.000,537378.000,490598.000,497193.000,585199.000,614085.000,611385.000,595717.000,598319.000,536229.000,537847.000,521066.000,534292.000,550778.000,578287.000,479689.000
1.02.02,Investimentos,102.000,102.000,58.000,10.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3131.000,2938.000,2732.000,2402.000,1842.000,1447.000,184.000,0.000,0.000,0.000,0.000,0.000,0.000,49.000,10824.000,12515.000,10461.000,42634.000,42316.000,8573.000,44200.000,49821.000,42642.000,50793.000,36028.000,36232.000,36072.000,30859.000,33119.000,34248.000,34878.000,39110.000,55218.000,57330.000
1.02.03,Imobilizado,111722.000,123025.000,82832.000,85664.000,88723.000,98443.000,103506.000,122536.000,121577.000,134757.000,141300.000,144750.000,145958.000,211126.000,214233.000,216802.000,223530.000,224947.000,230786.000,236634.000,246119.000,263128.000,269468.000,282656.000,301823.000,869643.000,869065.000,911050.000,898625.000,948045.000,945153.000,977044.000,979606.000,1140966.000,2123966.000,2090845.000,2044274.000,2050343.000,1971542.000,1982166.000,1929010.000,1860189.000,1753751.000,1707910.000,1626379.000,1581674.000,1521998.000,1490630.000,1468056.000,1506324.000,1480465.000,1479370.000
1.02.04,Intangível,60195.000,171667.000,171358.000,171312.000,170181.000,170855.000,171838.000,452968.000,449047.000,449140.000,449625.000,449703.000,452604.000,498212.000,531269.000,572266.000,569132.000,569052.000,570993.000,571675.000,572056.000,570664.000,571208.000,607609.000,617132.000,621742.000,624754.000,758977.000,818941.000,885901.000,1033977.000,1172947.000,1249008.000,1721397.000,5995381.000,5911421.000,5974018.000,5976241.000,5854160.000,5822616.000,5795654.000,5756188.000,5717142.000,5674594.000,5624223.000,5578887.000,5541661.000,5520456.000,5566994.000,5545518.000,5527692.000,5525999.000
