cd_conta,conta,2020T2,2020T3,2020T4,2021T2,2021T3,2021T4,2022T2,2022T3,2022T4,2023T2,2023T3,2023T4,2024T2,2024T3,2024T4,2025T2,2025T3
2,Passivo Total,28154000.0,28647902.0,28045433.0,75284557.0,105378789.0,105044734.0,105781693.0,105685586.0,105060647.0,111895806.0,122572575.0,125520596.0,138009255.0,142658527.0,143846433.0,135725711.0,132793411.0
2.01,Passivo Circulante,10647174.0,10186888.0,10994728.0,31584515.0,47004221.0,43742731.0,41819627.0,40647589.0,41556337.0,45795870.0,54320506.0,55855884.0,57440517.0,57655788.0,58264973.0,39890758.0,35413769.0
2.01.01,Obrigações Sociais e Trabalhistas,210075.0,150547.0,151262.0,787055.0,778498.0,788947.0,1346783.0,939228.0,837208.0,1505438.0,1039355.0,966452.0,1643678.0,1209972.0,1096335.0,1207777.0,1108282.0
2.01.02,Fornecedores,4072246.0,5582001.0,6066846.0,12301205.0,15029253.0,15678442.0,17851768.0,17301732.0,18789160.0,17856363.0,20687577.0,20150653.0,22855949.0,22824541.0,20042645.0,12030359.0,11254145.0
2.01.03,Obrigações Fiscais,342562.0,292287.0,352954.0,840017.0,1094246.0,915621.0,163132.0,103298.0,53253.0,30404.0,96286.0,68046.0,226633.0,273942.0,245149.0,63368.0,66951.0
2.01.04,Empréstimos e Financiamentos,2106610.0,698840.0,611026.0,5122790.0,7286080.0,6152594.0,8347264.0,11060098.0,11258607.0,12470956.0,15754953.0,18044458.0,15192213.0,14790780.0,15044343.0,9344482.0,9409919.0
2.01.05,Outras Obrigações,3915681.0,3463213.0,3812640.0,12533448.0,22816144.0,20207127.0,14110680.0,11243233.0,10618109.0,13932709.0,16742335.0,16626275.0,17522044.0,18556553.0,21836501.0,16977324.0,12763279.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267448.0,811193.0
2.02,Passivo Não Circulante,13554390.0,13945477.0,12443960.0,33257010.0,39404995.0,40347452.0,40970593.0,42614942.0,41699052.0,42735528.0,45449838.0,46506810.0,57314302.0,62536167.0,65151812.0,79004626.0,82961044.0
2.02.01,Empréstimos e Financiamentos,7524699.0,7704073.0,6918186.0,24929496.0,30239432.0,31500034.0,32095674.0,33955203.0,32860709.0,31444487.0,32347495.0,32895451.0,39701131.0,46461897.0,49725353.0,63104356.0,67358235.0
2.02.02,Outras Obrigações,3692516.0,3805698.0,3203251.0,5039555.0,5293578.0,5379230.0,5637442.0,5597391.0,5882047.0,8037074.0,9639530.0,9776154.0,14102946.0,13073709.0,12645235.0,13293569.0,12963833.0
2.02.03,Tributos Diferidos,1275251.0,1360235.0,1296596.0,1758783.0,2178940.0,1704521.0,1313689.0,1177050.0,1085722.0,1249658.0,1387884.0,1781011.0,1736067.0,1447499.0,1275586.0,1106629.0,1139011.0
2.02.04,Provisões,1022091.0,1036138.0,1025927.0,1529176.0,1693045.0,1763667.0,1923788.0,1885298.0,1870574.0,2004309.0,2074929.0,2054194.0,1774158.0,1553062.0,1505638.0,1500072.0,1499965.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,39833.0,39333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,3952436.0,4515537.0,4606745.0,10443032.0,18969573.0,20954551.0,22991473.0,22423055.0,21805258.0,23364408.0,22802231.0,23157902.0,23254436.0,22466572.0,20429648.0,16830327.0,14418598.0
2.03.01,Capital Social Realizado,1921843.0,1921843.0,1921843.0,3000000.0,6859670.0,6859670.0,6859670.0,6859670.0,6859670.0,6859670.0,6859670.0,6859670.0,6859670.0,6859670.0,6859670.0,6859670.0,6859670.0
2.03.02,Reservas de Capital,510941.0,510941.0,510941.0,5162870.0,10319709.0,10243048.0,10068119.0,10081589.0,10086240.0,10115944.0,10190259.0,10203377.0,10232229.0,10247722.0,10264863.0,7279186.0,7270218.0
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,747210.0,747210.0,746303.0,197097.0,197097.0,197097.0,2604433.0,2278433.0,1359633.0,2751597.0,2631759.0,2381759.0,1298986.0,1298986.0,1298986.0,0.0,0.0
2.03.05,Lucros/Prejuízos Acumulados,-369851.0,82703.0,443612.0,742052.0,1286610.0,2444120.0,551899.0,-328222.0,-154043.0,637750.0,618724.0,65523.0,1050454.0,868873.0,-1721603.0,-1846241.0,-4167311.0
2.03.06,Ajustes de Avaliação Patrimonial,883607.0,982131.0,704307.0,1050275.0,8818.0,724863.0,2221381.0,2901711.0,3044861.0,2326030.0,1773814.0,2905542.0,3032025.0,2442346.0,3150636.0,3947951.0,3885403.0
2.03.07,Ajustes Acumulados de Conversão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.08,Outros Resultados Abrangentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.09,Participação dos Acionistas Não Controladores,258686.0,270709.0,279739.0,290738.0,297669.0,485753.0,685971.0,629874.0,608897.0,673417.0,728005.0,742031.0,781072.0,748975.0,577096.0,589761.0,570618.0
